  n  E[WN]   sigma_WN     W50     W90      W95     W99
530   6.11    0.52       6.06    6.80     7.04    7.53
531   6.11    0.52       6.06    6.80     7.04    7.53
532   6.11    0.52       6.07    6.80     7.04    7.53
533   6.11    0.52       6.07    6.80     7.04    7.53
534   6.11    0.52       6.07    6.80     7.04    7.53
535   6.11    0.52       6.07    6.80     7.04    7.53
536   6.12    0.52       6.07    6.80     7.04    7.54
537   6.12    0.52       6.07    6.80     7.04    7.54
538   6.12    0.52       6.07    6.80     7.05    7.54
539   6.12    0.52       6.07    6.81     7.05    7.54
540   6.12    0.52       6.07    6.81     7.05    7.54
541   6.12    0.52       6.08    6.81     7.05    7.54
542   6.12    0.52       6.08    6.81     7.05    7.54
543   6.12    0.52       6.08    6.81     7.05    7.54
544   6.12    0.52       6.08    6.81     7.05    7.54
545   6.13    0.52       6.08    6.81     7.05    7.54
546   6.13    0.52       6.08    6.81     7.05    7.54
547   6.13    0.52       6.08    6.81     7.05    7.55
548   6.13    0.52       6.08    6.82     7.05    7.55
549   6.13    0.52       6.08    6.82     7.06    7.55
550   6.13    0.52       6.09    6.82     7.06    7.55
551   6.13    0.52       6.09    6.82     7.06    7.55
552   6.13    0.52       6.09    6.82     7.06    7.55
553   6.13    0.52       6.09    6.82     7.06    7.55
554   6.14    0.52       6.09    6.82     7.06    7.55
555   6.14    0.52       6.09    6.82     7.06    7.55
556   6.14    0.52       6.09    6.82     7.06    7.55
557   6.14    0.52       6.09    6.82     7.06    7.55
558   6.14    0.52       6.09    6.83     7.07    7.56
559   6.14    0.52       6.10    6.83     7.07    7.56
560   6.14    0.52       6.10    6.83     7.07    7.56
561   6.14    0.52       6.10    6.83     7.07    7.56
562   6.14    0.52       6.10    6.83     7.07    7.56
563   6.15    0.52       6.10    6.83     7.07    7.56
564   6.15    0.52       6.10    6.83     7.07    7.56
565   6.15    0.52       6.10    6.83     7.07    7.56
566   6.15    0.52       6.10    6.83     7.07    7.56
567   6.15    0.52       6.10    6.83     7.07    7.56
568   6.15    0.52       6.10    6.84     7.07    7.56
569   6.15    0.52       6.11    6.84     7.08    7.57
570   6.15    0.52       6.11    6.84     7.08    7.57
571   6.15    0.52       6.11    6.84     7.08    7.57
572   6.15    0.52       6.11    6.84     7.08    7.57
573   6.16    0.52       6.11    6.84     7.08    7.57
574   6.16    0.52       6.11    6.84     7.08    7.57
575   6.16    0.52       6.11    6.84     7.08    7.57
576   6.16    0.52       6.11    6.84     7.08    7.57
577   6.16    0.52       6.11    6.84     7.08    7.57
578   6.16    0.52       6.12    6.84     7.08    7.57
579   6.16    0.52       6.12    6.85     7.08    7.57
580   6.16    0.52       6.12    6.85     7.09    7.58
581   6.16    0.52       6.12    6.85     7.09    7.58
582   6.17    0.52       6.12    6.85     7.09    7.58
583   6.17    0.52       6.12    6.85     7.09    7.58
584   6.17    0.52       6.12    6.85     7.09    7.58
585   6.17    0.52       6.12    6.85     7.09    7.58
586   6.17    0.52       6.12    6.85     7.09    7.58
587   6.17    0.52       6.12    6.85     7.09    7.58
588   6.17    0.52       6.13    6.85     7.09    7.58
589   6.17    0.52       6.13    6.85     7.09    7.58
590   6.17    0.52       6.13    6.86     7.09    7.58
591   6.17    0.52       6.13    6.86     7.10    7.58
592   6.18    0.52       6.13    6.86     7.10    7.59
593   6.18    0.52       6.13    6.86     7.10    7.59
594   6.18    0.52       6.13    6.86     7.10    7.59
595   6.18    0.52       6.13    6.86     7.10    7.59
596   6.18    0.52       6.13    6.86     7.10    7.59
597   6.18    0.52       6.13    6.86     7.10    7.59
598   6.18    0.52       6.14    6.86     7.10    7.59
599   6.18    0.52       6.14    6.86     7.10    7.59
600   6.18    0.52       6.14    6.87     7.10    7.59
601   6.18    0.52       6.14    6.87     7.10    7.59
602   6.19    0.52       6.14    6.87     7.11    7.59
603   6.19    0.52       6.14    6.87     7.11    7.59
604   6.19    0.52       6.14    6.87     7.11    7.60
605   6.19    0.52       6.14    6.87     7.11    7.60
606   6.19    0.52       6.14    6.87     7.11    7.60
607   6.19    0.52       6.14    6.87     7.11    7.60
608   6.19    0.52       6.15    6.87     7.11    7.60
609   6.19    0.52       6.15    6.87     7.11    7.60
610   6.19    0.51       6.15    6.87     7.11    7.60
611   6.19    0.51       6.15    6.88     7.11    7.60
612   6.20    0.51       6.15    6.88     7.11    7.60
613   6.20    0.51       6.15    6.88     7.12    7.60
614   6.20    0.51       6.15    6.88     7.12    7.60
615   6.20    0.51       6.15    6.88     7.12    7.60
616   6.20    0.51       6.15    6.88     7.12    7.61
617   6.20    0.51       6.15    6.88     7.12    7.61
618   6.20    0.51       6.16    6.88     7.12    7.61
619   6.20    0.51       6.16    6.88     7.12    7.61
620   6.20    0.51       6.16    6.88     7.12    7.61
621   6.20    0.51       6.16    6.88     7.12    7.61
622   6.20    0.51       6.16    6.88     7.12    7.61
623   6.21    0.51       6.16    6.89     7.12    7.61
624   6.21    0.51       6.16    6.89     7.12    7.61
625   6.21    0.51       6.16    6.89     7.13    7.61
626   6.21    0.51       6.16    6.89     7.13    7.61
627   6.21    0.51       6.16    6.89     7.13    7.61
628   6.21    0.51       6.17    6.89     7.13    7.62
629   6.21    0.51       6.17    6.89     7.13    7.62
630   6.21    0.51       6.17    6.89     7.13    7.62
631   6.21    0.51       6.17    6.89     7.13    7.62
632   6.21    0.51       6.17    6.89     7.13    7.62
633   6.22    0.51       6.17    6.89     7.13    7.62
634   6.22    0.51       6.17    6.89     7.13    7.62
635   6.22    0.51       6.17    6.90     7.13    7.62
636   6.22    0.51       6.17    6.90     7.13    7.62
637   6.22    0.51       6.17    6.90     7.14    7.62
638   6.22    0.51       6.17    6.90     7.14    7.62
639   6.22    0.51       6.18    6.90     7.14    7.62
640   6.22    0.51       6.18    6.90     7.14    7.62
641   6.22    0.51       6.18    6.90     7.14    7.63
642   6.22    0.51       6.18    6.90     7.14    7.63
643   6.22    0.51       6.18    6.90     7.14    7.63
644   6.23    0.51       6.18    6.90     7.14    7.63
645   6.23    0.51       6.18    6.90     7.14    7.63
646   6.23    0.51       6.18    6.90     7.14    7.63
647   6.23    0.51       6.18    6.91     7.14    7.63
648   6.23    0.51       6.18    6.91     7.14    7.63
649   6.23    0.51       6.18    6.91     7.14    7.63
650   6.23    0.51       6.19    6.91     7.15    7.63
651   6.23    0.51       6.19    6.91     7.15    7.63
652   6.23    0.51       6.19    6.91     7.15    7.63
653   6.23    0.51       6.19    6.91     7.15    7.63
654   6.23    0.51       6.19    6.91     7.15    7.64
655   6.24    0.51       6.19    6.91     7.15    7.64
656   6.24    0.51       6.19    6.91     7.15    7.64
657   6.24    0.51       6.19    6.91     7.15    7.64
658   6.24    0.51       6.19    6.92     7.15    7.64
659   6.24    0.51       6.19    6.92     7.15    7.64
660   6.24    0.51       6.19    6.92     7.15    7.64
661   6.24    0.51       6.20    6.92     7.15    7.64
662   6.24    0.51       6.20    6.92     7.16    7.64
663   6.24    0.51       6.20    6.92     7.16    7.64
664   6.24    0.51       6.20    6.92     7.16    7.64
665   6.24    0.51       6.20    6.92     7.16    7.64
666   6.25    0.51       6.20    6.92     7.16    7.64
667   6.25    0.51       6.20    6.92     7.16    7.64
668   6.25    0.51       6.20    6.92     7.16    7.65
669   6.25    0.51       6.20    6.92     7.16    7.65
670   6.25    0.51       6.20    6.93     7.16    7.65
671   6.25    0.51       6.20    6.93     7.16    7.65
672   6.25    0.51       6.21    6.93     7.16    7.65
673   6.25    0.51       6.21    6.93     7.16    7.65
674   6.25    0.51       6.21    6.93     7.17    7.65
675   6.25    0.51       6.21    6.93     7.17    7.65
676   6.25    0.51       6.21    6.93     7.17    7.65
677   6.26    0.51       6.21    6.93     7.17    7.65
678   6.26    0.51       6.21    6.93     7.17    7.65
679   6.26    0.51       6.21    6.93     7.17    7.65
680   6.26    0.51       6.21    6.93     7.17    7.65
681   6.26    0.51       6.21    6.93     7.17    7.66
682   6.26    0.51       6.21    6.93     7.17    7.66
683   6.26    0.51       6.21    6.94     7.17    7.66
684   6.26    0.51       6.22    6.94     7.17    7.66
685   6.26    0.51       6.22    6.94     7.17    7.66
686   6.26    0.51       6.22    6.94     7.17    7.66
687   6.26    0.51       6.22    6.94     7.18    7.66
688   6.26    0.51       6.22    6.94     7.18    7.66
689   6.27    0.51       6.22    6.94     7.18    7.66
690   6.27    0.51       6.22    6.94     7.18    7.66
691   6.27    0.51       6.22    6.94     7.18    7.66
692   6.27    0.51       6.22    6.94     7.18    7.66
693   6.27    0.51       6.22    6.94     7.18    7.66
694   6.27    0.51       6.22    6.94     7.18    7.67
695   6.27    0.51       6.23    6.94     7.18    7.67
696   6.27    0.51       6.23    6.95     7.18    7.67
697   6.27    0.51       6.23    6.95     7.18    7.67
698   6.27    0.51       6.23    6.95     7.18    7.67
699   6.27    0.51       6.23    6.95     7.18    7.67
700   6.28    0.51       6.23    6.95     7.19    7.67
701   6.28    0.51       6.23    6.95     7.19    7.67
702   6.28    0.51       6.23    6.95     7.19    7.67
703   6.28    0.51       6.23    6.95     7.19    7.67
704   6.28    0.51       6.23    6.95     7.19    7.67
705   6.28    0.51       6.23    6.95     7.19    7.67
706   6.28    0.51       6.23    6.95     7.19    7.67
707   6.28    0.51       6.24    6.95     7.19    7.67
708   6.28    0.51       6.24    6.95     7.19    7.68
709   6.28    0.51       6.24    6.96     7.19    7.68
710   6.28    0.51       6.24    6.96     7.19    7.68
711   6.28    0.51       6.24    6.96     7.19    7.68
712   6.29    0.51       6.24    6.96     7.19    7.68
713   6.29    0.51       6.24    6.96     7.19    7.68
714   6.29    0.51       6.24    6.96     7.20    7.68
715   6.29    0.51       6.24    6.96     7.20    7.68
716   6.29    0.51       6.24    6.96     7.20    7.68
717   6.29    0.51       6.24    6.96     7.20    7.68
718   6.29    0.51       6.24    6.96     7.20    7.68
719   6.29    0.51       6.25    6.96     7.20    7.68
720   6.29    0.51       6.25    6.96     7.20    7.68
721   6.29    0.51       6.25    6.96     7.20    7.68
722   6.29    0.51       6.25    6.97     7.20    7.68
723   6.29    0.51       6.25    6.97     7.20    7.69
724   6.29    0.51       6.25    6.97     7.20    7.69
725   6.30    0.51       6.25    6.97     7.20    7.69
726   6.30    0.51       6.25    6.97     7.20    7.69
727   6.30    0.51       6.25    6.97     7.20    7.69
728   6.30    0.51       6.25    6.97     7.21    7.69
729   6.30    0.51       6.25    6.97     7.21    7.69
730   6.30    0.51       6.25    6.97     7.21    7.69
731   6.30    0.51       6.26    6.97     7.21    7.69
732   6.30    0.51       6.26    6.97     7.21    7.69
733   6.30    0.51       6.26    6.97     7.21    7.69
734   6.30    0.51       6.26    6.97     7.21    7.69
735   6.30    0.51       6.26    6.98     7.21    7.69
736   6.30    0.51       6.26    6.98     7.21    7.69
737   6.31    0.51       6.26    6.98     7.21    7.69
738   6.31    0.51       6.26    6.98     7.21    7.70
739   6.31    0.51       6.26    6.98     7.21    7.70
740   6.31    0.51       6.26    6.98     7.21    7.70
741   6.31    0.51       6.26    6.98     7.21    7.70
742   6.31    0.51       6.26    6.98     7.22    7.70
743   6.31    0.51       6.26    6.98     7.22    7.70
744   6.31    0.51       6.27    6.98     7.22    7.70
745   6.31    0.51       6.27    6.98     7.22    7.70
746   6.31    0.51       6.27    6.98     7.22    7.70
747   6.31    0.51       6.27    6.98     7.22    7.70
748   6.31    0.51       6.27    6.98     7.22    7.70
749   6.31    0.51       6.27    6.99     7.22    7.70
750   6.32    0.51       6.27    6.99     7.22    7.70
751   6.32    0.51       6.27    6.99     7.22    7.70
752   6.32    0.51       6.27    6.99     7.22    7.70
753   6.32    0.51       6.27    6.99     7.22    7.71
754   6.32    0.51       6.27    6.99     7.22    7.71
755   6.32    0.51       6.27    6.99     7.22    7.71
756   6.32    0.51       6.27    6.99     7.23    7.71
757   6.32    0.51       6.28    6.99     7.23    7.71
758   6.32    0.51       6.28    6.99     7.23    7.71
759   6.32    0.51       6.28    6.99     7.23    7.71
760   6.32    0.51       6.28    6.99     7.23    7.71
761   6.32    0.51       6.28    6.99     7.23    7.71
762   6.33    0.51       6.28    6.99     7.23    7.71
763   6.33    0.51       6.28    6.99     7.23    7.71
764   6.33    0.51       6.28    7.00     7.23    7.71
765   6.33    0.51       6.28    7.00     7.23    7.71
766   6.33    0.51       6.28    7.00     7.23    7.71
767   6.33    0.51       6.28    7.00     7.23    7.71
768   6.33    0.51       6.28    7.00     7.23    7.72
769   6.33    0.51       6.28    7.00     7.23    7.72
770   6.33    0.51       6.29    7.00     7.24    7.72
771   6.33    0.51       6.29    7.00     7.24    7.72
772   6.33    0.51       6.29    7.00     7.24    7.72
773   6.33    0.51       6.29    7.00     7.24    7.72
774   6.33    0.51       6.29    7.00     7.24    7.72
775   6.33    0.51       6.29    7.00     7.24    7.72
776   6.34    0.51       6.29    7.00     7.24    7.72
777   6.34    0.51       6.29    7.00     7.24    7.72
778   6.34    0.51       6.29    7.01     7.24    7.72
779   6.34    0.51       6.29    7.01     7.24    7.72
780   6.34    0.51       6.29    7.01     7.24    7.72
781   6.34    0.51       6.29    7.01     7.24    7.72
782   6.34    0.51       6.29    7.01     7.24    7.72
783   6.34    0.51       6.30    7.01     7.24    7.73
784   6.34    0.51       6.30    7.01     7.24    7.73
785   6.34    0.51       6.30    7.01     7.24    7.73
786   6.34    0.51       6.30    7.01     7.25    7.73
787   6.34    0.51       6.30    7.01     7.25    7.73
788   6.34    0.51       6.30    7.01     7.25    7.73
789   6.35    0.51       6.30    7.01     7.25    7.73
